데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
당근마켓,애플,2022-03-13,경기도,700000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-13,서울,190000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-13,경기도,440000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-13,전북,1110000,FALSE,아이폰13Pro,256GB
당근마켓,애플,2022-03-13,충남,450000,FALSE,아이폰XsMax,256GB
당근마켓,애플,2022-03-13,대구,490000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-04,서울,1270000,TRUE,아이폰13Pro,256GB
당근마켓,애플,2022-03-13,부산,700000,FALSE,아이폰12,없음
당근마켓,애플,2022-03-04,충북,700000,FALSE,아이폰13Mini,128GB
당근마켓,애플,2022-03-13,경남,370000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-13,서울,679000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-13,경북,1360000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-13,경기도,550000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-13,서울,250000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-13,울산,1100000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-13,서울,1520000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-13,울산,1100000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-13,서울,330000,FALSE,아이폰Xr,256GB
당근마켓,애플,2022-03-12,서울,180000,FALSE,아이폰Se,128GB
당근마켓,애플,2022-03-13,서울,520000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-01,경기도,920000,FALSE,아이폰12ProMax,128GB
당근마켓,애플,2022-03-12,경기도,500000,FALSE,아이폰XsMax,256GB
당근마켓,애플,2022-03-12,충북,1000000,FALSE,아이폰12ProMax,없음
당근마켓,애플,2022-03-12,경기도,200000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-12,서울,200000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-12,경기도,280000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-12,인천,1400000,TRUE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-12,강원도,1140000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-12,경기도,350000,FALSE,아이폰12Mini,64GB
당근마켓,애플,2022-03-12,전북,350000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-12,경기도,950000,FALSE,아이폰12,128GB
당근마켓,애플,2022-03-12,인천,1300000,FALSE,아이폰13Pro,512GB
당근마켓,애플,2022-03-12,세종시,630000,FALSE,아이폰12,128GB
당근마켓,애플,2022-03-12,서울,600000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-12,서울,900000,FALSE,아이폰13,128GB
당근마켓,애플,2022-03-12,경기도,370000,FALSE,아이폰11,없음
당근마켓,애플,2022-03-12,경남,650000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-12,충북,890000,FALSE,아이폰12ProMax,128GB
당근마켓,애플,2022-03-03,인천,550000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-02,인천,600000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-02,인천,600000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-11,경기도,500000,FALSE,아이폰XsMax,256GB
당근마켓,애플,2022-03-11,서울,1050000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-11,경기도,380000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-11,서울,300000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-11,대전,680000,FALSE,아이폰11Pro,512GB
당근마켓,애플,2022-03-11,부산,600000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-11,충북,1200000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-11,서울,1400000,TRUE,아이폰13Pro,256GB
당근마켓,애플,2022-03-11,경기도,450000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-11,경기도,260000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-02,경기도,500000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-11,경남,600000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-11,부산,600000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-11,서울,1350000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-11,경기도,720000,FALSE,아이폰13Mini,128GB
당근마켓,애플,2022-03-11,강원도,800000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-02,울산,410000,FALSE,아이폰12Mini,64GB
당근마켓,애플,2022-03-11,경기도,230000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-11,서울,679000,FALSE,아이폰11Pro,256GB
