데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-18,경기도,429000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-03-19,경기도,589000,FALSE,아이폰11ProMax,64GB
번개장터,애플,2022-03-23,충남,250000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-03-23,전국,100000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-21,경기도,549000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-20,서울,880000,FALSE,아이폰XsMaxMini,없음
번개장터,애플,2022-03-23,경기도,230000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-23,충남,250000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-03-23,경기도,379000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-23,부산,250000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-23,부산,250000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-23,전국,1310000,FALSE,아이폰12Pro,256GB
번개장터,애플,2022-03-23,전국,190000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-20,서울,880000,FALSE,아이폰XsXr111213Se,없음
번개장터,애플,2022-03-23,전국,190000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-23,전국,1370000,FALSE,아이폰12Pro,512GB
번개장터,애플,2022-03-23,전국,1610000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-03-23,전국,1380000,FALSE,아이폰12ProMax,128GB
번개장터,애플,2022-03-23,부산,580000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-23,전국,1380000,FALSE,아이폰12ProMax,128GB
번개장터,애플,2022-03-20,서울,880000,FALSE,아이폰XsXr111213Se,없음
번개장터,애플,2022-03-23,경기도,765000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-23,경기도,765000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-23,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-23,충북,450000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-23,전국,500000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-23,경기도,270000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-23,경기도,780000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-16,서울,900000,FALSE,아이폰13,256GB
번개장터,애플,2022-03-23,전국,190000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-18,서울,760000,FALSE,아이폰12,256GB
번개장터,애플,2022-03-23,전국,800000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,전국,800000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,전국,800000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,전국,600000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-23,부산,580000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-23,서울,500000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-23,부산,580000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-02,서울,330000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-23,부산,580000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-23,전국,600000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-16,서울,660000,TRUE,아이폰12,128GB
번개장터,애플,2022-03-17,서울,320000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-17,서울,460000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-23,부산,430000,FALSE,아이폰XsMax,256GB
번개장터,애플,2022-03-23,경기도,930000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-03-23,서울,370000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-17,서울,460000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-23,서울,370000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-23,서울,330000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-21,인천,555000,FALSE,아이폰Xs111213,없음
번개장터,애플,2022-03-23,경기도,765000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-23,경기도,835000,FALSE,아이폰12Pro,256GB
번개장터,애플,2022-03-23,경기도,250000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-23,서울,1100000,TRUE,아이폰13Pro,없음
번개장터,애플,2022-03-21,서울,880000,FALSE,아이폰12Pro,512GB
번개장터,애플,2022-03-23,부산,580000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,경기도,550000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,경기도,240000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-23,경기도,235000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-23,경기도,550000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,경기도,250000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-23,경기도,250000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-23,부산,580000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,부산,580000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,서울,730000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,경기도,400000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-23,강원도,150000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-23,광주,260000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-21,서울,470000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-23,대구,690000,TRUE,아이폰12,64GB
번개장터,애플,2022-03-23,전국,810000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-23,전국,810000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-16,서울,550000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,전국,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-23,경기도,310000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-23,서울,400000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-03-18,서울,700000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,전국,470000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-16,서울,550000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,경기도,300000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-23,경기도,400000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-23,경기도,429000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-16,서울,640000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,서울,720000,FALSE,아이폰13Mini,128GB
번개장터,애플,2022-03-23,경기도,429000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-23,경기도,429000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-23,서울,720000,FALSE,아이폰13Mini,128GB
번개장터,애플,2022-03-16,서울,640000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,대전,970000,FALSE,아이폰12ProMax,128GB
번개장터,애플,2022-03-23,대전,970000,FALSE,아이폰12ProMax,128GB
번개장터,애플,2022-03-23,전국,410000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-23,대전,1470000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-03-18,서울,700000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,전북,420000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-23,전국,275000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-23,강원도,150000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-23,강원도,150000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-16,서울,400000,FALSE,아이폰Xr,128GB
번개장터,애플,2022-03-23,경기도,280000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-16,서울,700000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-23,경북,300000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-23,경북,650000,TRUE,아이폰11Pro,64GB
