데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-30,경북,1750000,FALSE,아이폰13ProMax,없음
번개장터,애플,2022-03-24,서울,880000,FALSE,아이폰XsXr111213Se,없음
번개장터,애플,2022-03-24,전국,250000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-30,서울,999990,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-30,부산,560000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-30,부산,560000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-30,전국,290000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-30,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-30,경기도,210000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-30,전국,780000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-30,경기도,210000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-30,인천,1353000,FALSE,아이폰13ProMax,256GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-30,부산,560000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-30,경기도,429000,FALSE,아이폰1113Pro,64GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-30,인천,443000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-30,인천,463000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-30,인천,443000,FALSE,아이폰12Mini,128GB
번개장터,애플,1달 전,서울,579000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-30,인천,443000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-30,경기도,300000,FALSE,아이폰Xr,128GB
번개장터,애플,2022-03-30,울산,250000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-27,전국,220000,TRUE,아이폰Se,128GB
번개장터,애플,2022-03-30,광주,420000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,경기도,380000,FALSE,아이폰XsMax,64GB
번개장터,애플,2022-03-30,부산,680000,FALSE,아이폰13ProMini,128GB
번개장터,애플,2022-03-27,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-30,대구,170000,FALSE,아이폰Xr,256GB
번개장터,애플,2022-03-27,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-27,서울,450000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-30,부산,680000,FALSE,아이폰13ProMini,128GB
번개장터,애플,2022-03-30,부산,680000,FALSE,아이폰13ProMini,128GB
번개장터,애플,2022-03-30,경기도,620000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-24,전국,410000,TRUE,아이폰XsMax,64GB
번개장터,애플,2022-03-30,서울,615000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-27,전국,520000,TRUE,아이폰11Pro,256GB
번개장터,애플,2022-03-30,전국,900000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-27,전국,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-30,서울,425000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-24,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,서울,565000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-24,전국,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-30,전국,200000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-30,경기도,390000,FALSE,아이폰XsMax,64GB
번개장터,애플,2022-03-30,전국,200000,FALSE,아이폰Se,64GB
번개장터,애플,1달 전,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-30,서울,545000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-27,전국,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-24,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,전국,900000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-24,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,서울,1050000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-03-30,서울,1050000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-03-30,전국,290000,TRUE,아이폰Se,없음
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-30,전국,290000,TRUE,아이폰Se,없음
번개장터,애플,2022-03-24,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,경기도,369000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-30,대구,1260000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-27,전국,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-30,서울,190000,TRUE,아이폰1213,없음
번개장터,애플,2022-03-30,경기도,325000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-30,서울,880000,FALSE,아이폰12,256GB
번개장터,애플,2022-03-30,경기도,325000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-30,강원도,890000,TRUE,아이폰13Mini,256GB
번개장터,애플,2022-03-30,서울,880000,FALSE,아이폰12,256GB
번개장터,애플,2022-03-30,서울,1000000,TRUE,아이폰Xs111213Mini,없음
번개장터,애플,1달 전,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-30,경기도,235000,FALSE,아이폰Xr,64GB
번개장터,애플,1달 전,서울,1460000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-30,경기도,235000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-30,경기도,159000,FALSE,아이폰Se,64GB
번개장터,애플,1달 전,서울,1360000,TRUE,아이폰13ProMax,128GB
번개장터,애플,2022-03-30,경기도,505000,FALSE,아이폰11Pro,256GB
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-30,부산,680000,TRUE,아이폰12Mini,128GB
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-30,경기도,1510000,TRUE,아이폰13Pro,없음
번개장터,애플,2022-03-30,서울,980000,FALSE,아이폰12ProMax,128GB
번개장터,애플,2022-03-30,경기도,1100000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-03-30,경기도,350000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-30,전남,260000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-30,전남,260000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-30,전북,1050000,FALSE,아이폰13ProMax,128GB
번개장터,애플,2022-03-30,전남,260000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-30,전북,1050000,FALSE,아이폰13ProMax,128GB
