데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
당근마켓,애플,1년 전,대구,300000,TRUE,아이폰Xs,64GB
당근마켓,애플,2022-04-01,경기도,285000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-04-01,경기도,759000,TRUE,아이폰12Mini,64GB
당근마켓,애플,2022-04-01,서울,1780000,TRUE,아이폰13ProMax,없음
당근마켓,애플,2022-04-01,인천,480000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-04-01,서울,590000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-04-01,경기도,200000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-04-01,경기도,600000,FALSE,아이폰11ProMax,64GB
당근마켓,애플,2022-04-01,경남,200000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-04-01,경기도,850000,TRUE,아이폰11ProMax,256GB
당근마켓,애플,2022-04-01,서울,780000,TRUE,아이폰13Mini,128GB
당근마켓,애플,2022-04-01,전북,580000,FALSE,아이폰11Pro,512GB
당근마켓,애플,2022-04-01,대전,850000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-04-01,서울,630000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-04-01,경기도,1300000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-04-01,대전,300000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-04-01,부산,570000,FALSE,아이폰XsMax,256GB
당근마켓,애플,2022-03-31,대구,180000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-04-01,울산,330000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-31,경기도,400000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-31,인천,350000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-31,인천,1410000,TRUE,아이폰13Pro,512GB
당근마켓,애플,2022-03-31,부산,290000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-31,경기도,1450000,FALSE,아이폰13ProMax,512GB
당근마켓,애플,2022-03-31,경기도,1450000,FALSE,아이폰13ProMax,512GB
당근마켓,애플,2022-03-31,경기도,580000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-31,경기도,580000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-31,서울,800000,TRUE,아이폰13Mini,128GB
당근마켓,애플,2022-03-31,경기도,850000,TRUE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-31,인천,380000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-31,경기도,490000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-31,광주,500000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-30,서울,240000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-30,경기도,180000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-30,대구,320000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-30,경기도,430000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-30,전북,475000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-30,서울,200000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,서울,1620000,TRUE,아이폰13Pro,512GB
당근마켓,애플,2022-03-30,서울,200000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,서울,220000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,경기도,220000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-30,서울,1790000,TRUE,아이폰13ProMax,없음
당근마켓,애플,2022-03-30,경기도,765000,FALSE,아이폰11ProMax,512GB
당근마켓,애플,2022-03-30,충남,180000,FALSE,아이폰Se,256GB
당근마켓,애플,2022-03-30,서울,460000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-30,경기도,270000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-30,경기도,480000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-29,제주,720000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-29,제주,340000,FALSE,아이폰Xs,512GB
당근마켓,애플,2022-03-29,세종시,590000,FALSE,아이폰11Pro,없음
당근마켓,애플,2022-03-29,서울,130000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-29,경기도,130000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-29,서울,420000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-29,경기도,380000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-29,서울,250000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-29,서울,220000,FALSE,아이폰SePro,64GB
당근마켓,애플,2022-03-29,광주,180000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-29,경기도,570000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-29,충남,260000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-29,서울,440000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-29,경기도,700000,FALSE,아이폰13Mini,128GB
당근마켓,애플,2022-03-29,광주,450000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-28,경기도,650000,FALSE,아이폰12,128GB
당근마켓,애플,2022-03-28,경기도,700000,FALSE,아이폰12Pro,128GB
