데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
중고나라,애플,2022-03-31,지역없음,800000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-30,지역없음,250000,FALSE,아이폰Se,128GB
중고나라,애플,2022-03-29,지역없음,930000,FALSE,아이폰12ProMax,256GB
중고나라,애플,2022-03-28,지역없음,450000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-03-28,지역없음,820000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-28,지역없음,250000,FALSE,아이폰Se,128GB
중고나라,애플,2022-03-27,지역없음,250000,FALSE,아이폰Se,128GB
중고나라,애플,2022-03-26,지역없음,820000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-31,지역없음,530000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-31,지역없음,830000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-31,지역없음,1090000,FALSE,아이폰13Pro,128GB
중고나라,애플,2022-03-31,지역없음,320000,FALSE,아이폰Xr,128GB
중고나라,애플,2022-03-31,지역없음,580000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-31,지역없음,640000,FALSE,아이폰12,128GB
중고나라,애플,2022-03-31,지역없음,1010000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-31,지역없음,130000,FALSE,아이폰Se,없음
중고나라,애플,2022-03-31,지역없음,750000,FALSE,아이폰12Pro,512GB
중고나라,애플,2022-03-31,지역없음,420000,FALSE,아이폰11,128GB
중고나라,애플,2022-03-31,지역없음,250000,FALSE,아이폰Xr,128GB
중고나라,애플,2022-03-31,지역없음,200000,FALSE,아이폰Se,64GB
중고나라,애플,2022-03-31,지역없음,200000,TRUE,아이폰Se,64GB
중고나라,애플,2022-03-31,지역없음,750000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-31,지역없음,960000,FALSE,아이폰12ProMax,128GB
중고나라,애플,2022-03-31,지역없음,460000,FALSE,아이폰XsMax,256GB
중고나라,애플,2022-03-31,지역없음,290000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-03-31,지역없음,420000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-03-31,지역없음,830000,TRUE,아이폰12Pro,256GB
중고나라,애플,2022-03-31,지역없음,930000,TRUE,아이폰13,128GB
중고나라,애플,2022-03-31,지역없음,420000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-03-31,지역없음,440000,TRUE,아이폰11,128GB
중고나라,애플,2022-03-31,지역없음,640000,FALSE,아이폰12,128GB
중고나라,애플,2022-03-31,지역없음,320000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-03-31,지역없음,490000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-03-31,지역없음,650000,TRUE,아이폰11Pro,64GB
중고나라,애플,2022-03-31,지역없음,750000,TRUE,아이폰11ProMax,64GB
