데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,1년 전,서울,279000,FALSE,아이폰Xs,512GB
번개장터,애플,2022-03-26,인천,500000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-26,제주특별자치도,750000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-26,서울,220000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-22,인천,555000,FALSE,아이폰Xs1112,없음
번개장터,애플,1년 전,서울,129000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-26,대구,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-26,서울,200000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-26,부산,1100000,TRUE,아이폰13Pro,128GB
번개장터,애플,1년 전,서울,199000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-19,서울,429000,FALSE,아이폰12Mini,256GB
번개장터,애플,2022-03-19,서울,509000,FALSE,아이폰11Pro,512GB
번개장터,애플,1년 전,서울,389000,FALSE,아이폰XsMax,512GB
번개장터,애플,2022-03-26,서울,85000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-26,서울,1500000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-26,서울,85000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-26,전국,200000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-26,서울,1500000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-26,서울,600000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-19,서울,579000,FALSE,아이폰12,256GB
번개장터,애플,2022-03-26,서울,270000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-26,서울,140000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-26,서울,100000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-26,서울,190000,TRUE,아이폰1213,없음
번개장터,애플,2022-03-26,전국,1150000,FALSE,아이폰13Pro,256GB
번개장터,애플,2022-03-19,서울,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-26,전국,1150000,FALSE,아이폰13Pro,256GB
번개장터,애플,2022-02-26,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-26,전국,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-22,경기도,930000,TRUE,아이폰12ProMax,256GB
번개장터,애플,2022-03-26,서울,190000,TRUE,아이폰1213,없음
번개장터,애플,2022-03-12,경기도,423000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-26,전국,550000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-26,서울,600000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-26,서울,270000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-24,전국,1250000,TRUE,아이폰13Pro,256GB
