데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
중고나라,애플,2022-03-29,지역없음,650000,FALSE,아이폰11ProMax,64GB
중고나라,애플,2022-03-29,지역없음,380000,FALSE,아이폰11,128GB
중고나라,애플,2022-03-29,지역없음,470000,FALSE,아이폰11Pro,64GB
중고나라,애플,2022-03-29,지역없음,1480000,TRUE,아이폰13ProMax,512GB
중고나라,애플,2022-03-29,지역없음,600000,FALSE,아이폰1112,64GB
중고나라,애플,2022-03-29,지역없음,1280000,FALSE,아이폰13ProMax,128GB
중고나라,애플,2022-03-29,지역없음,780000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-29,지역없음,1030000,TRUE,아이폰13,128GB
중고나라,애플,2022-03-29,지역없음,850000,TRUE,아이폰12Pro,128GB
중고나라,애플,2022-03-29,지역없음,1200000,FALSE,아이폰13Pro,128GB
중고나라,애플,2022-03-29,지역없음,560000,FALSE,아이폰12,128GB
중고나라,애플,2022-03-29,지역없음,250000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-03-29,지역없음,290000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-03-29,지역없음,370000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-29,지역없음,1250000,TRUE,아이폰12ProMax,512GB
중고나라,애플,2022-03-29,지역없음,300000,FALSE,아이폰12,64GB
중고나라,애플,2022-03-29,지역없음,550000,FALSE,아이폰12,64GB
중고나라,애플,2022-03-29,지역없음,320000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-03-29,지역없음,1300000,TRUE,아이폰13Pro,256GB
중고나라,애플,2022-03-29,지역없음,920000,FALSE,아이폰13Mini,256GB
중고나라,애플,2022-03-29,지역없음,900000,FALSE,아이폰13Pro,128GB
중고나라,애플,2022-03-29,지역없음,450000,FALSE,아이폰12Mini,없음
중고나라,애플,2022-03-29,지역없음,550000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-29,지역없음,395000,FALSE,아이폰XsMax,256GB
중고나라,애플,2022-03-29,지역없음,230000,FALSE,아이폰Se,128GB
중고나라,애플,2022-03-29,지역없음,170000,FALSE,아이폰Se,64GB
중고나라,애플,2022-03-29,지역없음,800000,FALSE,아이폰13,256GB
중고나라,애플,2022-03-29,지역없음,690000,FALSE,아이폰11ProMax,256GB
중고나라,애플,2022-03-29,지역없음,290000,FALSE,아이폰Xr,64GB
중고나라,애플,2022-03-29,지역없음,290000,FALSE,아이폰Xr,64GB
중고나라,애플,2022-03-29,지역없음,580000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-29,지역없음,360000,FALSE,아이폰11,64GB
중고나라,애플,2022-03-29,지역없음,370000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-03-29,지역없음,390000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-03-29,지역없음,1200000,TRUE,아이폰12Pro,512GB
중고나라,애플,2022-03-29,지역없음,885000,FALSE,아이폰13,128GB
중고나라,애플,2022-03-29,지역없음,600000,FALSE,아이폰1112,64GB
중고나라,애플,2022-03-29,지역없음,200000,FALSE,아이폰Se,64GB
중고나라,애플,2022-03-29,지역없음,1330000,TRUE,아이폰12ProMax,256GB
중고나라,애플,2022-03-29,지역없음,200000,FALSE,아이폰Se,64GB
중고나라,애플,2022-03-29,지역없음,640000,FALSE,아이폰11ProMax,256GB
중고나라,애플,2022-03-29,지역없음,320000,FALSE,아이폰Xr,128GB
중고나라,애플,2022-03-29,지역없음,410000,FALSE,아이폰11,128GB
중고나라,애플,2022-03-29,지역없음,410000,FALSE,아이폰11,128GB
중고나라,애플,2022-03-29,지역없음,830000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-29,지역없음,410000,FALSE,아이폰11,128GB
중고나라,애플,2022-03-29,지역없음,850000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-29,지역없음,520000,FALSE,아이폰XsMax,512GB
중고나라,애플,2022-03-29,지역없음,550000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-29,지역없음,490000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-03-29,지역없음,380000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-03-29,지역없음,570000,TRUE,아이폰Se,64GB
중고나라,애플,2022-03-29,지역없음,1390000,TRUE,아이폰13ProMax,128GB
중고나라,애플,2022-03-29,지역없음,580000,TRUE,아이폰Se,64GB
중고나라,애플,2022-03-29,지역없음,1490000,TRUE,아이폰13ProMax,256GB
중고나라,애플,2022-03-29,지역없음,320000,FALSE,아이폰Xr,128GB
중고나라,애플,2022-03-29,지역없음,260000,FALSE,아이폰Se,128GB
중고나라,애플,2022-03-29,지역없음,1250000,TRUE,아이폰12ProMax,128GB
중고나라,애플,2022-03-29,지역없음,1130000,TRUE,아이폰13,256GB
중고나라,애플,2022-03-29,지역없음,1130000,FALSE,아이폰13Pro,없음
중고나라,애플,2022-03-29,지역없음,850000,FALSE,아이폰12Pro,없음
