데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-13,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-06,서울,1250000,TRUE,아이폰13,256GB
번개장터,애플,2022-03-10,서울,670000,TRUE,아이폰12,128GB
번개장터,애플,2022-03-13,경북,1500000,FALSE,아이폰13Pro,128GB
번개장터,애플,2022-03-13,전북,450000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-13,경기도,150000,FALSE,아이폰Xr,없음
번개장터,애플,2022-02-27,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-13,전국,1380000,FALSE,아이폰13Pro,512GB
번개장터,애플,2022-03-13,전국,1100000,TRUE,아이폰13Pro,128GB
번개장터,애플,2022-03-13,서울,430000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-06,서울,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-13,서울,110000,FALSE,아이폰Se,없음
번개장터,애플,2022-03-06,서울,1630000,TRUE,아이폰13ProMax,없음
번개장터,애플,2022-02-27,서울,1360000,TRUE,아이폰13ProMax,128GB
번개장터,애플,2022-02-27,서울,1490000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-06,서울,1370000,TRUE,아이폰13ProMax,128GB
번개장터,애플,2022-03-06,서울,1030000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-10,서울,530000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-10,서울,640000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-13,서울,290000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-13,서울,290000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-13,서울,290000,FALSE,아이폰Se,128GB
번개장터,애플,2022-02-27,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-13,서울,350000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-13,서울,350000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-10,서울,640000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-02-27,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-13,경기도,850000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-13,서울,440000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-02-27,서울,1050000,TRUE,아이폰12ProMax,256GB
번개장터,애플,2022-03-13,경기도,850000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-13,전국,350000,FALSE,아이폰12Mini,없음
번개장터,애플,2022-03-13,서울,480000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-11,인천,970000,FALSE,아이폰XsXr1112,없음
번개장터,애플,2022-03-13,전국,950000,FALSE,아이폰13Pro,128GB
번개장터,애플,2022-03-13,경기도,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-13,경기도,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-13,서울,830000,FALSE,아이폰12Mini,256GB
번개장터,애플,2022-03-13,서울,830000,FALSE,아이폰12Mini,256GB
번개장터,애플,2022-02-27,서울,1050000,TRUE,아이폰12ProMax,256GB
번개장터,애플,2022-03-13,경기도,460000,FALSE,아이폰XsMax,256GB
번개장터,애플,2022-03-13,서울,770000,FALSE,아이폰12Pro,256GB
번개장터,애플,2022-02-27,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-13,전국,590000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-02-27,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-13,서울,420000,FALSE,아이폰XsMax,64GB
번개장터,애플,2022-03-06,서울,340000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-13,서울,420000,FALSE,아이폰XsMax,64GB
