데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-14,서울,820000,TRUE,아이폰13ProMaxMini,256GB
번개장터,애플,2022-03-14,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-14,전국,550000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-14,경기도,389000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-14,경기도,390000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-14,전국,850000,FALSE,아이폰13Mini,128GB
번개장터,애플,2022-03-14,부산,210000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-12,경기도,460000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-14,전국,500000,FALSE,아이폰11,256GB
번개장터,애플,2022-03-14,경기도,280000,FALSE,아이폰Xr,128GB
번개장터,애플,2022-03-14,서울,900000,TRUE,아이폰12Pro,256GB
번개장터,애플,2022-03-14,서울,950000,TRUE,아이폰13,256GB
번개장터,애플,2022-03-07,서울,1250000,TRUE,아이폰13,256GB
번개장터,애플,2022-03-14,전국,400000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-03-14,전국,500000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-10,서울,670000,TRUE,아이폰12,128GB
번개장터,애플,2022-03-14,전국,430000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-14,전국,112000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-14,전국,112000,FALSE,아이폰Se,64GB
번개장터,애플,2022-02-28,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-14,충북,259000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-14,광주,450000,FALSE,아이폰XsMax,64GB
번개장터,애플,2022-03-07,서울,1630000,TRUE,아이폰13ProMax,없음
번개장터,애플,2022-03-14,광주,450000,FALSE,아이폰XsMax,64GB
번개장터,애플,2022-03-07,서울,1630000,TRUE,아이폰13ProMax,없음
번개장터,애플,2022-03-14,서울,490000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-02-28,서울,1360000,TRUE,아이폰13ProMax,128GB
번개장터,애플,2022-03-14,경기도,870000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-10,서울,530000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-14,충남,350000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-14,충남,350000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-10,서울,640000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-14,인천,650000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-07,서울,1030000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-14,인천,650000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-14,전북,350000,FALSE,아이폰11,64GB
번개장터,애플,2022-02-28,서울,1490000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-10,서울,640000,TRUE,아이폰11ProMax,64GB
번개장터,애플,1년 전,서울,319000,FALSE,아이폰Xs,512GB
번개장터,애플,2022-03-14,경북,1430000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-14,충남,350000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-14,인천,970000,FALSE,아이폰XsXr1112,없음
번개장터,애플,2022-03-14,부산,380000,FALSE,아이폰Xs,512GB
번개장터,애플,2022-02-28,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-14,전국,800000,FALSE,아이폰13Mini,128GB
번개장터,애플,1년 전,서울,199000,FALSE,아이폰Se,128GB
번개장터,애플,1년 전,서울,509000,FALSE,아이폰11Pro,512GB
번개장터,애플,2022-03-14,경기도,1130000,FALSE,아이폰13Pro,256GB
번개장터,애플,2022-03-14,서울,930000,TRUE,아이폰13,128GB
번개장터,애플,2022-02-28,서울,1050000,TRUE,아이폰12ProMax,256GB
번개장터,애플,2022-03-14,서울,1050000,TRUE,아이폰13,256GB
번개장터,애플,2022-03-14,강원도,360000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-03-14,경기도,354000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-02-28,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-14,경기도,505000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-14,경기도,505000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-14,전국,1480000,FALSE,아이폰13ProMax,512GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-14,전북,370000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-14,충북,1830000,FALSE,아이폰13ProMax,없음
번개장터,애플,2022-03-14,전국,250000,FALSE,아이폰Se,없음
번개장터,애플,2022-03-14,충북,1830000,FALSE,아이폰13ProMax,없음
번개장터,애플,2022-02-28,서울,1490000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-14,전국,350000,FALSE,아이폰11Pro,64GB
번개장터,애플,1달 전,서울,585000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-14,경기도,460000,FALSE,아이폰12Mini,128GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-14,경기도,460000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-14,전국,270000,FALSE,아이폰Se,128GB
번개장터,애플,1달 전,서울,585000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-14,인천,680000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-14,부산,680000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-14,부산,680000,FALSE,아이폰12Mini,128GB
번개장터,애플,1달 전,서울,585000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-14,경기도,384000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-10,서울,530000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-14,서울,500000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-14,서울,500000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-14,서울,500000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-02-28,서울,1360000,TRUE,아이폰13ProMax,128GB
번개장터,애플,2022-03-14,서울,360000,FALSE,아이폰12Mini,없음
번개장터,애플,2022-03-14,경기도,330000,FALSE,아이폰11Se,256GB
번개장터,애플,2022-03-07,서울,1250000,TRUE,아이폰13,256GB
번개장터,애플,2022-03-14,인천,470000,FALSE,아이폰11Pro,512GB
번개장터,애플,2022-03-14,전국,300000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-10,서울,530000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-10,서울,670000,TRUE,아이폰12,128GB
번개장터,애플,2022-03-14,경기도,110000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-14,부산,1204000,FALSE,아이폰13Pro,256GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-14,전국,1050000,TRUE,아이폰13,256GB
번개장터,애플,1달 전,서울,585000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-14,서울,750000,FALSE,아이폰12Mini,128GB
번개장터,애플,1달 전,서울,585000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-14,경기도,290000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-14,서울,750000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-14,경기도,290000,FALSE,아이폰Xs,64GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-14,서울,429000,FALSE,아이폰12Mini,256GB
번개장터,애플,2022-03-14,경기도,434000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-14,경기도,780000,TRUE,아이폰13ProMax,128GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-14,경남,600000,FALSE,아이폰11ProMax,64GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-14,부산,900000,TRUE,아이폰13,128GB
번개장터,애플,2022-03-14,울산,270000,FALSE,아이폰Xs,없음
번개장터,애플,2022-03-14,광주,800000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-07,서울,1030000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-14,부산,1194000,TRUE,아이폰13Pro,128GB
번개장터,애플,2022-03-14,서울,525000,FALSE,아이폰12,256GB
번개장터,애플,2022-02-28,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-14,부산,1194000,TRUE,아이폰13Pro,128GB
번개장터,애플,2022-03-14,부산,1204000,FALSE,아이폰13Pro,256GB
번개장터,애플,2022-02-21,서울,1490000,TRUE,아이폰13ProMax,256GB
번개장터,애플,1달 전,서울,555000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-14,전국,490000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-02-28,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-14,전국,490000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-03-14,경기도,400000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-10,서울,640000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-14,서울,750000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-14,경기도,150000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-14,전국,800000,FALSE,아이폰13,256GB
번개장터,애플,2022-03-14,부산,380000,FALSE,아이폰11,64GB
번개장터,애플,2022-02-21,서울,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-14,서울,550000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-10,서울,530000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-02-21,서울,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-14,전국,1250000,FALSE,아이폰ProMax,256GB
번개장터,애플,2022-02-21,서울,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-10,서울,640000,TRUE,아이폰11ProMax,64GB
번개장터,애플,2022-03-14,서울,200000,FALSE,아이폰Se,128GB
